cluster_id,intensity,rank,uri,energy,valence
2,10,11,spotify:track:0Vja5oea30WvQJs0xdxJNM,0.178,0.286
2,10,12,spotify:track:2iTkA5WEu1rRZAxmdDvmkf,0.266,0.508
2,10,13,spotify:track:597jSMXUcyL1vXfk8Ho05f,0.775,0.0863
2,10,14,spotify:track:0gySkOOewOdZtHG8stPEB8,0.428,0.359
2,10,15,spotify:track:5rtZUjm92TUl4sMXHDNKHG,0.475,0.419
2,10,16,spotify:track:3UtZyni3NugtgoqVYDRopd,0.536,0.492
2,10,17,spotify:track:1V2Z18nOByb7DqCECFh2Yt,0.524,0.403
2,10,18,spotify:track:5ucMxhsDLGxDMecHaAIVds,0.736,0.261
2,10,19,spotify:track:738QIhmZlD1PE4K56cFD1r,0.761,0.299
2,10,20,spotify:track:6hdpPJiCHzKJevsRxA6tx9,0.555,0.174
3,1,1,spotify:track:3q6zaTsgrJCpET0D0nQRjm,0.116,0.336
3,1,2,spotify:track:6H8XQAwJgxHoSDkrZ3QOHc,0.0289,0.112
3,1,3,spotify:track:4d8AH6faaXgCbO7GVuGqqT,0.0461,0.0541
3,1,4,spotify:track:3eWmoydgItD8uWU3UpNkcI,0.229,0.485
3,1,5,spotify:track:6MHqUFizwEP6sA48tprtKx,0.236,0.0599
3,1,6,spotify:track:4KEtmjHSQNf6XucybkmOTo,0.0229,0.0315
3,1,7,spotify:track:66f8CW20fpTb9VhZti8pyQ,0.0722,0.116
3,1,8,spotify:track:5d24GkUJLwNLhmWC0MYNQP,0.172,0.0945
3,1,9,spotify:track:0JOD85cRNVI7qbLz8NBaQP,0.0875,0.111
3,1,10,spotify:track:3yHuTG74ULlUmLcl8JSlFU,0.108,0.0369
3,1,11,spotify:track:3xtDprh8hCOUPYvHBQSGBY,0.0728,0.0372
3,1,12,spotify:track:6CeL0yLqia0BmrIvnm9Qo4,0.114,0.062
3,1,13,spotify:track:2WLNfOFWW7xt8TpD6IAIRD,0.179,0.0889
3,1,14,spotify:track:2Vw63ZaadDJLWrVTgtblG1,0.126,0.106
